[Fila 001] Saltado         : ya existe 11111111-1
[Fila 002] Saltado         : ya existe 22222222-2
[Fila 003] Saltado         : ya existe 33333333-3
[Fila 004] Saltado         : ya existe 17029889-6
[Fila 005] Saltado         : ya existe 32487347-3
[Fila 006] Saltado         : ya existe 18958289-7
[Fila 007] Saltado         : ya existe 33549181-5
[Fila 008] Saltado         : ya existe 32936053-9
[Fila 009] Saltado         : ya existe 31744459-1
[Fila 010] Saltado         : ya existe 12395870-5
[Fila 011] Saltado         : ya existe 30439044-1
[Fila 012] Saltado         : ya existe 31306335-6
[Fila 013] Saltado         : ya existe 15742460-2
[Fila 014] Saltado         : ya existe 27922760-3
[Fila 015] Saltado         : ya existe 34465435-2
[Fila 016] Saltado         : ya existe 18214491-6
[Fila 017] Saltado         : ya existe 15482877-K
[Fila 018] Saltado         : ya existe 25510878-6
[Fila 019] Saltado         : ya existe 22732411-2
[Fila 020] Saltado         : ya existe 19057945-K
[Fila 021] Saltado         : ya existe 31474828-K
[Fila 022] Saltado         : ya existe 33090883-1
[Fila 023] Saltado         : ya existe 28688132-7
[Fila 024] Saltado         : ya existe 17369062-2
[Fila 025] Saltado         : ya existe 32971842-5
[Fila 026] Saltado         : ya existe 20881122-3
[Fila 027] Saltado         : ya existe 38281417-7
[Fila 028] Saltado         : ya existe 35780325-K
[Fila 029] Saltado         : ya existe 36038236-2
[FILA 030] IGNORADO        : fila vacía
[Fila 031] Saltado         : ya existe 11876966-K
[Fila 032] Saltado         : ya existe 17685577-0
[Fila 033] Saltado         : ya existe 37575119-4
[Fila 034] Saltado         : ya existe 11077105-3
[Fila 035] Saltado         : ya existe 37012854-5
[Fila 036] Saltado         : ya existe 20584847-9
[Fila 037] Saltado         : ya existe 23460856-8
[Fila 038] Saltado         : ya existe 18983893-K
[Fila 039] Saltado         : ya existe 12220921-0
[FILA 040] RECHAZADO       : RUT inválido
[FILA 041] IGNORADO        : fila vacía
[Fila 042] Saltado         : ya existe 29031404-6
[FILA 043] IGNORADO        : fila vacía
[Fila 044] Saltado         : ya existe 39406017-8
[Fila 045] Saltado         : ya existe 34089205-4
[Fila 046] Saltado         : ya existe 20558837-K
[Fila 047] Saltado         : ya existe 17134562-6
[FILA 048] IGNORADO        : fila vacía
[Fila 049] Saltado         : ya existe 31992872-3
[Fila 050] Saltado         : ya existe 26751421-6
[FILA 051] IGNORADO        : fila vacía
[FILA 052] RECHAZADO       : Fecha inválida: 01.08.1988
[FILA 053] IGNORADO        : fila vacía
[Fila 054] Saltado         : ya existe 39685040-0
[Fila 055] Saltado         : ya existe 31570529-0
[Fila 056] Saltado         : ya existe 25396513-4
[FILA 057] RECHAZADO       : Fecha inválida: 1 de julio de 1967
[Fila 058] Saltado         : ya existe 18887903-9
[Fila 059] Saltado         : ya existe 14685216-5
[Fila 060] Saltado         : ya existe 18275445-5
[Fila 061] Saltado         : ya existe 34997682-K
[Fila 062] Saltado         : ya existe 28836388-9
[Fila 063] Saltado         : ya existe 28085076-4
[Fila 064] Saltado         : ya existe 18816145-6
[Fila 065] Saltado         : ya existe 35065624-3
[Fila 066] Saltado         : ya existe 29615450-4
[Fila 067] Saltado         : ya existe 24375853-K
[Fila 068] Saltado         : ya existe 29580115-8
[Fila 069] Saltado         : ya existe 23401657-1
[Fila 070] Saltado         : ya existe 22146585-7
[Fila 071] Saltado         : ya existe 17359183-7
[Fila 072] Saltado         : ya existe 14641643-8
[FILA 073] RECHAZADO       : RUT inválido
[Fila 074] Saltado         : ya existe 26559643-6
[FILA 075] RECHAZADO       : RUT inválido
[Fila 076] Saltado         : ya existe 35359841-4
[Fila 077] Saltado         : ya existe 11580963-6
[Fila 078] Saltado         : ya existe 38893819-6
[Fila 079] Saltado         : ya existe 13679214-8
[Fila 080] Saltado         : ya existe 15128503-1
[Fila 081] Saltado         : ya existe 31053595-8
[Fila 082] Saltado         : ya existe 15368105-8
[Fila 083] Saltado         : ya existe 36577773-K
[Fila 084] Saltado         : ya existe 32833160-8
[Fila 085] Saltado         : ya existe 24165337-4
[Fila 086] Saltado         : ya existe 30012166-7
[Fila 087] Saltado         : ya existe 12131636-6
[Fila 088] Saltado         : ya existe 22910648-1
[Fila 089] Saltado         : ya existe 22805018-0
[Fila 090] Saltado         : ya existe 29994697-5
[FILA 091] IGNORADO        : fila vacía
[Fila 092] Saltado         : ya existe 25705148-K
[Fila 093] Saltado         : ya existe 27754131-9
[Fila 094] Saltado         : ya existe 18436057-8
[Fila 095] Saltado         : ya existe 28563180-7
[Fila 096] Saltado         : ya existe 38882973-7
[Fila 097] Saltado         : ya existe 10385239-0
[Fila 098] Saltado         : ya existe 32826523-0
[Fila 099] Saltado         : ya existe 34183411-2
[FILA 100] RECHAZADO       : Talla inválida: XXXL
[Fila 101] Saltado         : ya existe 32874404-K
[Fila 102] Saltado         : ya existe 39688573-5
[Fila 103] Saltado         : ya existe 28017734-2
[Fila 104] Saltado         : ya existe 35195278-4
[Fila 105] Saltado         : ya existe 18953167-2
[Fila 106] Saltado         : ya existe 35789893-5
[Fila 107] Saltado         : ya existe 31507109-7
[Fila 108] Saltado         : ya existe 21414394-1
[FILA 109] RECHAZADO       : RUT inválido
[Fila 110] Saltado         : ya existe 19848230-7
[Fila 111] Saltado         : ya existe 24588301-3
[FILA 112] RECHAZADO       : valor no reconocido: True
[Fila 113] Saltado         : ya existe 25224441-7
[Fila 114] Saltado         : ya existe 10108894-4
[Fila 115] Saltado         : ya existe 34229388-3
[Fila 116] Saltado         : ya existe 39388747-8
[Fila 117] Saltado         : ya existe 34148476-6
[Fila 118] Saltado         : ya existe 18837869-2
[Fila 119] Saltado         : ya existe 26796882-9
[Fila 120] Saltado         : ya existe 35567208-5
[Fila 121] Saltado         : ya existe 15994562-6
[Fila 122] Saltado         : ya existe 27034970-6
[Fila 123] Saltado         : ya existe 13570554-3
[Fila 124] Saltado         : ya existe 39209756-2
[Fila 125] Saltado         : ya existe 30981592-0
[Fila 126] Saltado         : ya existe 20014145-8
[Fila 127] Saltado         : ya existe 38241736-4
[Fila 128] Saltado         : ya existe 31439587-5
[Fila 129] Saltado         : ya existe 27034339-2
[FILA 130] IGNORADO        : fila vacía
[Fila 131] Saltado         : ya existe 30433649-8
[Fila 132] Saltado         : ya existe 16674349-4
[Fila 133] Saltado         : ya existe 15128434-5
[Fila 134] Saltado         : ya existe 22546466-9
[Fila 135] Saltado         : ya existe 35585616-K
[Fila 136] Saltado         : ya existe 15420686-8
[Fila 137] Saltado         : ya existe 28098556-2
[Fila 138] Saltado         : ya existe 36126369-3
[Fila 139] Saltado         : ya existe 27795716-7
[Fila 140] Saltado         : ya existe 10019189-K
[Fila 141] Saltado         : ya existe 30097245-4
[Fila 142] Saltado         : ya existe 20876872-7
[Fila 143] Saltado         : ya existe 26394887-4
[Fila 144] Saltado         : ya existe 10653531-0
[Fila 145] Saltado         : ya existe 13753657-9
[Fila 146] Saltado         : ya existe 22179613-6
[Fila 147] Saltado         : ya existe 39485013-6
[Fila 148] Saltado         : ya existe 37906064-1
[Fila 149] Saltado         : ya existe 37070870-3
[Fila 150] Saltado         : ya existe 20318461-1
[Fila 151] Saltado         : ya existe 18034686-4
[Fila 152] Saltado         : ya existe 11943646-K
[Fila 153] Saltado         : ya existe 18082309-3
[Fila 154] Saltado         : ya existe 39461113-1
[Fila 155] Saltado         : ya existe 29037339-5
[Fila 156] Saltado         : ya existe 12642648-8
[FILA 157] RECHAZADO       : Fecha inválida: 31.10.1961
[FILA 158] RECHAZADO       : Talla inválida: 6
[Fila 159] Saltado         : ya existe 26307133-6
[Fila 160] Saltado         : ya existe 37381196-3
[Fila 161] Saltado         : ya existe 12322386-1
[Fila 162] Saltado         : ya existe 35521573-3
[FILA 163] RECHAZADO       : RUT inválido
[Fila 164] Saltado         : ya existe 35697139-6
[FILA 165] IGNORADO        : fila vacía
[FILA 166] RECHAZADO       : RUT inválido
[FILA 167] RECHAZADO       : Talla inválida: XXL
[FILA 168] RECHAZADO       : Talla inválida: XXL
[Fila 169] Saltado         : ya existe 25947830-8
[FILA 170] IGNORADO        : fila vacía
[Fila 171] Saltado         : ya existe 28448347-2
[FILA 172] RECHAZADO       : RUT inválido
[Fila 173] Saltado         : ya existe 18893824-8
[FILA 174] RECHAZADO       : RUT inválido
[Fila 175] Saltado         : ya existe 39273995-5
[Fila 176] Saltado         : ya existe 30353914-K
[Fila 177] Saltado         : ya existe 24198153-3
[Fila 178] Saltado         : ya existe 17106768-5
[Fila 179] Saltado         : ya existe 28095773-9
[Fila 180] Saltado         : ya existe 35342494-7
[FILA 181] RECHAZADO       : RUT inválido
[Fila 182] Saltado         : ya existe 33148116-5
[FILA 183] RECHAZADO       : RUT inválido
[Fila 184] Saltado         : ya existe 33922597-4
[FILA 185] RECHAZADO       : Fecha inválida: 14 de enero de 1978
[Fila 186] Saltado         : ya existe 23387959-2
[Fila 187] Saltado         : ya existe 32538074-8
[Fila 188] Saltado         : ya existe 31806289-7
[Fila 189] Saltado         : ya existe 22529912-9
[Fila 190] Saltado         : ya existe 24700199-9
[Fila 191] Saltado         : ya existe 27366963-9
[Fila 192] Saltado         : ya existe 25149361-8
[Fila 193] Saltado         : ya existe 14060227-2
[Fila 194] Saltado         : ya existe 18318332-K
[Fila 195] Saltado         : ya existe 17539591-1
[Fila 196] Saltado         : ya existe 12148352-1
[Fila 197] Saltado         : ya existe 21344269-4
[Fila 198] Saltado         : ya existe 10705792-7
[Fila 199] Saltado         : ya existe 29740364-8
[Fila 200] Saltado         : ya existe 28586522-0
[Fila 201] Saltado         : ya existe 17721369-1
[FILA 202] RECHAZADO       : valor no reconocido: False
[Fila 203] Saltado         : ya existe 17389269-1
[Fila 204] Saltado         : ya existe 10241284-2
[Fila 205] Saltado         : ya existe 12382132-7
[Fila 206] Saltado         : ya existe 33751200-3
[Fila 207] Saltado         : ya existe 31176301-6
[FILA 208] RECHAZADO       : RUT inválido
[Fila 209] Saltado         : ya existe 17682011-K
[Fila 210] Saltado         : ya existe 12261579-0
[Fila 211] Saltado         : ya existe 11054043-4
[Fila 212] Saltado         : ya existe 38844577-7
[Fila 213] Saltado         : ya existe 21087340-6
[Fila 214] Saltado         : ya existe 12377578-3
[Fila 215] Saltado         : ya existe 27252216-2
[Fila 216] Saltado         : ya existe 17986110-0
[Fila 217] Saltado         : ya existe 19344146-7
[Fila 218] Saltado         : ya existe 32447169-3
[FILA 219] IGNORADO        : fila vacía
[Fila 220] Saltado         : ya existe 26287807-4
[FILA 221] RECHAZADO       : RUT inválido
[FILA 222] RECHAZADO       : Talla inválida: XXL
[Fila 223] Saltado         : ya existe 14439648-0
[FILA 224] RECHAZADO       : RUT inválido
[Fila 225] Saltado         : ya existe 39607862-7
[Fila 226] Saltado         : ya existe 29161026-9
[Fila 227] Saltado         : ya existe 29334454-K
[Fila 228] Saltado         : ya existe 25860207-2
[Fila 229] Saltado         : ya existe 18153634-9
[FILA 230] RECHAZADO       : RUT inválido
[Fila 231] Saltado         : ya existe 25870338-3
[Fila 232] Saltado         : ya existe 37095103-9
[Fila 233] Saltado         : ya existe 23658665-0
[Fila 234] Saltado         : ya existe 16389096-8
[FILA 235] RECHAZADO       : Talla inválida: 10
